District #,Formatted API #,Operator Name,Operator Code,Field Name,Field Code,API #,Lease Name,Well #,Well Status,Pool WellTypes,Section,Township,Range,Base Meridian,Area Code,Area Name,Latitude,Longitude,GISSourceCode,DatumCode,BLMWell,DryHole,Directional,Hydraulically Fractured,SPUD Date,Completion Date,Abandoned Date
5,019-04105,Aera Energy LLC,A0610,Coalinga,150,01904105,Penn-Zier,P-2,P,OG,1,20S,14.0,MD,0,Any Area,36.214575184,-120.391589185,gps,83,N,N,N, ,,,2001-01-04
5,019-04106,Aera Energy LLC,A0610,Coalinga,150,01904106,Penn-Zier,P-3,P,OG,1,20S,14.0,MD,0,Any Area,36.209474318,-120.391705154,opr,83,N,N,N, ,,,
5,019-04107,Aera Energy LLC,A0610,Coalinga,150,01904107,Penn-Zier,P-4,P,OG,1,20S,14.0,MD,0,Any Area,36.21560416,-120.391845206,opr,83,N,N,N, ,,,2001-12-06
5,019-04108,Aera Energy LLC,A0610,Coalinga,150,01904108,Penn-Zier,P-5,P,OG,1,20S,14.0,MD,0,Any Area,36.21095428,-120.391775169,opr,83,N,N,N, ,,,
5,019-04109,Aera Energy LLC,A0610,Coalinga,150,01904109,Penn-Zier,P-6,P,OG,1,20S,14.0,MD,0,Any Area,36.209354343,-120.393915271,opr,83,N,N,N, ,,,1978-12-30
5,019-04110,Aera Energy LLC,A0610,Coalinga,150,01904110,Penn-Zier,P-7,P,OG,1,20S,14.0,MD,0,Any Area,36.209344358,-120.395385349,opr,83,N,N,N, ,,,1977-08-12
5,019-04111,Aera Energy LLC,A0610,Coalinga,150,01904111,Penn-Zier,P-8,P,OG,1,20S,14.0,MD,0,Any Area,36.210877305,-120.394056289,gps,83,N,N,N, ,1907-02-20,1907-05-01,2001-01-16
5,019-04112,Aera Energy LLC,A0610,Coalinga,150,01904112,Penn-Zier,P-9,P,OG,1,20S,14.0,MD,0,Any Area,36.210794322,-120.395535367,opr,83,N,N,N, ,,,
5,019-04113,Aera Energy LLC,A0610,Coalinga,150,01904113,Penn-Zier,P-10,P,OG,1,20S,14.0,MD,0,Any Area,36.212814234,-120.392035196,opr,83,N,N,N, ,,,
5,019-04114,Aera Energy LLC,A0610,Coalinga,150,01904114,Penn-Zier,P-11,P,OG,1,20S,14.0,MD,0,Any Area,36.214304195,-120.391965203,opr,83,N,N,N, ,,,
5,019-04115,Aera Energy LLC,A0610,Coalinga,150,01904115,Penn-Zier,P-12,P,OG,1,20S,14.0,MD,0,Any Area,36.218064096,-120.391865225,opr,83,N,N,N, ,,,
5,019-04116,Aera Energy LLC,A0610,Coalinga,150,01904116,Penn-Zier,P-13,P,OG,1,20S,14.0,MD,0,Any Area,36.21681413,-120.392025224,opr,83,N,N,N, ,,,
5,019-04117,Aera Energy LLC,A0610,Coalinga,150,01904117,Penn-Zier,P-14,P,OG,1,20S,14.0,MD,0,Any Area,36.21948107,-120.393009295,gps,83,N,N,N, ,1925-04-02,1925-06-06,2001-12-27
5,019-04118,Aera Energy LLC,A0610,Coalinga,150,01904118,Penn-Zier,P-15,P,OG,1,20S,14.0,MD,0,Any Area,36.219512082,-120.394303364,gps,83,N,N,N, ,1925-05-28,1925-07-02,2001-12-20
