District #,Formatted API #,Operator Name,Operator Code,Field Name,Field Code,API #,Lease Name,Well #,Well Status,Pool WellTypes,Section,Township,Range,Base Meridian,Area Code,Area Name,Latitude,Longitude,GISSourceCode,DatumCode,BLMWell,DryHole,Directional,Hydraulically Fractured,SPUD Date,Completion Date,Abandoned Date
5,019-00276,Aera Energy LLC,A0610,Coalinga,150,01900276,nan,646,P,WF,27,19S,15E,MD,0,Any Area,36.244218826,-120.32964114,opr,83,N,N,N, ,1963-08-25,,1990-12-05
5,019-00695,Aera Energy LLC,A0610,Coalinga,150,01900695,nan,272,A,"OG, SC",15,19S,15E,MD,0,Any Area,36.278250443,-120.323177662,gps,83,N,N,N, ,1963-05-10,1963-05-16,
5,019-00696,Aera Energy LLC,A0610,Coalinga,150,01900696,nan,273,P,OG,15,19S,15E,MD,0,Any Area,36.276318448,-120.322217556,opr,83,N,N,N, ,1960-01-06,1960-01-08,1996-05-12
5,019-00697,Aera Energy LLC,A0610,Coalinga,150,01900697,nan,274,P,"OG, SC",15,19S,15E,MD,0,Any Area,36.274899461,-120.322769544,opr,83,N,N,N, ,1962-09-26,1962-10-24,1987-07-23
5,019-00698,Aera Energy LLC,A0610,Coalinga,150,01900698,nan,275,A,"OB, OG, SC",15,19S,15E,MD,0,Any Area,36.274255529,-120.323550427,gps,83,N,N,N, ,1963-05-13,1963-05-28,
5,019-00699,Aera Energy LLC,A0610,Coalinga,150,01900699,nan,277,P,OG,15,19S,15E,MD,0,Any Area,36.269871488,-120.322141366,opr,83,N,N,N, ,1961-03-11,1961-03-14,1997-01-13
5,019-00700,Aera Energy LLC,A0610,Coalinga,150,01900700,nan,283,P,OG,15,19S,15E,MD,0,Any Area,36.278377423,-120.320623533,opr,83,N,N,N, ,1961-07-07,1961-07-12,1980-04-22
5,019-00701,Aera Energy LLC,A0610,Coalinga,150,01900701,nan,284,P,OG,15,19S,15E,MD,0,Any Area,36.275604438,-120.320440443,opr,83,N,N,N, ,1959-01-09,1960-02-01,1989-03-10
5,019-00702,Aera Energy LLC,A0610,Coalinga,150,01900702,nan,363X,P,OG,15,19S,15E,MD,0,Any Area,36.278410455,-120.32479775,opr,83,N,N,N, ,1952-04-05,1959-11-24,1997-06-03
5,019-00703,Aera Energy LLC,A0610,Coalinga,150,01900703,Investment,368,P,OG,16,19S,15E,MD,0,Any Area,36.268302669,-120.342673391,opr,83,N,Y,N, ,,,1954-09-28
5,019-00704,Aera Energy LLC,A0610,Coalinga,150,01900704,Coast Range,21,P,OG,17,19S,15E,MD,0,Any Area,36.281122784,-120.370065175,opr,83,N,Y,N, ,,,1939-01-19
5,019-00705,Aera Energy LLC,A0610,Coalinga,150,01900705,nan,1,P,OG,20,19S,15E,MD,0,Any Area,36.253487042,-120.371313472,gps,83,Y,N,N, ,1928-07-25,1928-09-14,2001-08-20
5,019-00706,Aera Energy LLC,A0610,Coalinga,150,01900706,nan,2,P,OG,20,19S,15E,MD,0,Any Area,36.253763051,-120.372574546,opr,83,N,N,N, ,,1929-03-16,1975-12-13
5,019-00707,Aera Energy LLC,A0610,Coalinga,150,01900707,Salt Lake,1,P,OG,20,19S,15E,MD,0,Any Area,36.253063022,-120.368766327,opr,83,N,N,N, ,,,1976-12-13
5,019-00708,Aera Energy LLC,A0610,Coalinga,150,01900708,Salt Lake,2,P,OG,20,19S,15E,MD,0,Any Area,36.253909895,-120.355755668,opr,83,N,N,N, ,1938-11-23,1939-03-09,1980-09-05
5,019-00503,Aera Energy LLC,A0610,Coalinga,150,01900503,Imperial,323-X,P,OG,4,19S,15E,MD,0,Any Area,36.308622428,-120.352005013,opr,83,N,Y,N, ,1954-05-16,,1954-06-11
5,019-00504,Aera Energy LLC,A0610,Coalinga,150,01900504,nan,1,P,OG,10,19S,15E,MD,0,Any Area,36.295723311,-120.319933998,opr,83,N,N,N, ,,1908-11-21,
5,019-00505,Aera Energy LLC,A0610,Coalinga,150,01900505,nan,2,P,OG,10,19S,15E,MD,0,Any Area,36.283326386,-120.319891638,gps,83,N,N,N, ,,,1979-02-20
5,019-00506,Aera Energy LLC,A0610,Coalinga,150,01900506,nan,3,P,OG,10,19S,15E,MD,0,Any Area,36.292014332,-120.319666877,opr,83,N,N,N, ,,,1944-11-02
5,019-00507,Aera Energy LLC,A0610,Coalinga,150,01900507,nan,4,P,OG,10,19S,15E,MD,0,Any Area,36.294768316,-120.319849966,opr,83,N,N,N, ,,,1951-03-30
5,019-00508,Aera Energy LLC,A0610,Coalinga,150,01900508,nan,5,P,OG,10,19S,15E,MD,0,Any Area,36.293511324,-120.319834929,gps,83,N,N,N, ,,,1951-04-17
5,019-00709,Aera Energy LLC,A0610,Coalinga,150,01900709,Salt Lake,3,P,OG,20,19S,15E,MD,0,Any Area,36.254390034,-120.3713675,opr,83,N,N,N, ,1948-04-23,1948-05-08,1980-09-08
5,019-00710,Aera Energy LLC,A0610,Coalinga,150,01900710,nan,1,P,OG,21,19S,15E,MD,0,Any Area,36.253373733,-120.337626703,gps,83,N,N,N, ,1901-07-29,1901-10-15,2001-01-16
5,019-00711,Aera Energy LLC,A0610,Coalinga,150,01900711,nan,2,P,OG,21,19S,15E,MD,0,Any Area,36.253507744,-120.338924774,opr,83,N,N,N, ,1901-11-25,1902-01-07,
5,019-00712,Aera Energy LLC,A0610,Coalinga,150,01900712,nan,3,P,OG,21,19S,15E,MD,0,Any Area,36.254509726,-120.337693738,gps,83,N,N,N, ,1902-01-30,1902-03-08,2000-12-13
5,019-00713,Aera Energy LLC,A0610,Coalinga,150,01900713,nan,4,P,OG,21,19S,15E,MD,0,Any Area,36.25949569,-120.337670879,gps,83,N,N,N, ,1904-05-26,1904-08-13,2001-04-26
5,019-00714,Aera Energy LLC,A0610,Coalinga,150,01900714,nan,5,P,OG,21,19S,15E,MD,0,Any Area,36.25388973,-120.337641718,opr,83,N,N,N, ,1904-08-27,1904-10-29,1995-08-31
5,019-00715,Aera Energy LLC,A0610,Coalinga,150,01900715,nan,6,P,OG,21,19S,15E,MD,0,Any Area,36.255933715,-120.337676778,opr,83,N,N,N, ,1904-11-16,1905-01-28,1995-09-25
5,019-00716,Aera Energy LLC,A0610,Coalinga,150,01900716,nan,7,P,OG,21,19S,15E,MD,0,Any Area,36.258345698,-120.337650846,opr,83,N,N,N, ,1905-01-07,1905-06-10,1991-12-26
5,019-00717,Aera Energy LLC,A0610,Coalinga,150,01900717,nan,8,P,OG,21,19S,15E,MD,0,Any Area,36.257152707,-120.337664812,opr,83,N,N,N, ,1905-02-02,1905-03-24,
5,019-00718,Aera Energy LLC,A0610,Coalinga,150,01900718,nan,9,P,OG,21,19S,15E,MD,0,Any Area,36.260737682,-120.337793921,opr,83,N,N,N, ,1905-06-17,1905-07-15,1995-09-27
5,019-00719,Aera Energy LLC,A0610,Coalinga,150,01900719,nan,10,A,OG,21,19S,15E,MD,0,Any Area,36.254174441,-120.347643563,gps,83,N,N,N, ,1912-06-07,1912-08-06,
5,019-00720,Aera Energy LLC,A0610,Coalinga,150,01900720,nan,11,P,OG,21,19S,15E,MD,0,Any Area,36.255188754,-120.341327948,opr,83,N,N,N, ,1920-06-08,1921-10-27,
5,019-00721,Aera Energy LLC,A0610,Coalinga,150,01900721,Old,11,P,OG,21,19S,15E,MD,0,Any Area,36.25560358,-120.339590162,hud,83,N,Y,N, ,1920-03-07,,1920-05-16
5,019-00722,Aera Energy LLC,A0610,Coalinga,150,01900722,nan,177,P,OG,21,19S,15E,MD,0,Any Area,36.255253737,-120.339484854,gps,83,N,N,N, ,1948-12-21,1949-01-01,2001-06-29
5,019-00723,Aera Energy LLC,A0610,Coalinga,150,01900723,nan,188,P,OG,21,19S,15E,MD,0,Any Area,36.253859736,-120.338296752,gps,83,N,N,N, ,1949-03-19,1949-03-26,2002-01-28
5,019-00724,Aera Energy LLC,A0610,Coalinga,150,01900724,nan,186,P,OG,21,19S,15E,MD,0,Any Area,36.256972714,-120.338305841,opr,83,N,Y,N, ,1949-04-01,,1949-04-07
5,019-00725,Aera Energy LLC,A0610,Coalinga,150,01900725,nan,1,P,OG,22,19S,15E,MD,0,Any Area,36.25695555,-120.320055885,opr,83,N,N,N, ,1903-08-20,,
5,019-00726,Aera Energy LLC,A0610,Coalinga,150,01900726,nan,2,P,OG,22,19S,15E,MD,0,Any Area,36.256152626,-120.327946275,opr,83,N,N,N, ,1910-06-04,1910-09-01,1994-11-28
5,019-00727,Aera Energy LLC,A0610,Coalinga,150,01900727,nan,3,P,OG,22,19S,15E,MD,0,Any Area,36.256386615,-120.32696623,opr,83,N,N,N, ,1910-10-20,1910-12-31,
5,019-00728,Aera Energy LLC,A0610,Coalinga,150,01900728,nan,4,P,OG,22,19S,15E,MD,0,Any Area,36.255110631,-120.327724233,opr,83,N,N,N, ,,1911-02-01,1951-08-09
5,019-00729,Aera Energy LLC,A0610,Coalinga,150,01900729,nan,5,P,OG,22,19S,15E,MD,0,Any Area,36.255096612,-120.325622123,opr,83,N,N,N, ,,,1948-12-02
5,019-00730,Aera Energy LLC,A0610,Coalinga,150,01900730,nan,9,P,OG,22,19S,15E,MD,0,Any Area,36.257972612,-120.327773318,opr,83,N,N,N, ,1922-05-15,1922-06-01,
5,019-00731,Aera Energy LLC,A0610,Coalinga,150,01900731,nan,10,P,OG,22,19S,15E,MD,0,Any Area,36.258740607,-120.327718337,opr,83,N,N,N, ,1907-01-01,,
